Radius = 200.0, radius = 30.0
R_hit = 200.0, Gamma = -1.5961394945321064, Beta = -1.0799028657738088
R_hit = 200.0, Gamma = -1.1324274851176597e-14, Beta = 0.5245821230999622
R_hit = 200.0, Gamma = 0.5157541312482058, Beta = 1.0319907599912486
R_hit = 200.0, Gamma = 2.0943951023931833, Beta = 2.6189772193948326
R_hit = 200.0, Gamma = 2.627647757028518, Beta = -3.139300921400138
R_hit = 200.0, Gamma = -2.094395102393208, Beta = -1.5698129823320375
R_hit = 200.0, Gamma = -1.5436439243707558, Beta = -1.0274072956239317
R_hit = 200.0, Gamma = -1.3100631690576847e-14, Beta = 0.524582118526194
R_hit = 200.0, Gamma = 0.5682497014095563, Beta = 1.0844863301585543
R_hit = 200.0, Gamma = 2.0943951023931815, Beta = 2.618977221689479
R_hit = 200.0, Gamma = 2.6801433271898687, Beta = -3.0868053512418663
R_hit = 200.0, Gamma = -2.09439510239321, Beta = -1.569812983483277
R_hit = 200.0, Gamma = -1.4911483542094053, Beta = -0.9749117254609617
R_hit = 200.0, Gamma = -1.4876988529977098e-14, Beta = 0.5245821191037787
R_hit = 200.0, Gamma = 0.6207452715709069, Beta = 1.1369819003190316
R_hit = 200.0, Gamma = 2.0943951023931797, Beta = 2.6189772213996934
R_hit = 200.0, Gamma = 2.7326388973512192, Beta = -3.034309781080075
R_hit = 200.0, Gamma = -2.0943951023932117, Beta = -1.5698129833378769
R_hit = 200.0, Gamma = -1.4386527840480547, Beta = -0.9224161552998437
R_hit = 200.0, Gamma = -1.6653345369377348e-14, Beta = 0.5245821190308027
R_hit = 200.0, Gamma = 0.6732408417322574, Beta = 1.189477470480502
R_hit = 200.0, Gamma = 2.094395102393178, Beta = 2.618977221436307
R_hit = 200.0, Gamma = 2.7851344675125698, Beta = -2.981814210918752
R_hit = 200.0, Gamma = -2.0943951023932135, Beta = -1.569812983356277
R_hit = 200.0, Gamma = -1.3861572138867042, Beta = -0.8699205851384751
R_hit = 200.0, Gamma = -1.84297022087776e-14, Beta = 0.5245821190400342
R_hit = 200.0, Gamma = 0.7257364118936079, Beta = 1.24197304064189
R_hit = 200.0, Gamma = 2.094395102393176, Beta = 2.6189772214316696
R_hit = 200.0, Gamma = 2.8376300376739203, Beta = -2.929318640757435
R_hit = 200.0, Gamma = -2.0943951023932152, Beta = -1.5698129833539407
R_hit = 200.0, Gamma = -1.3336616437253537, Beta = -0.8174250149771165
R_hit = 200.0, Gamma = -2.020605904817785e-14, Beta = 0.5245821190388885
R_hit = 200.0, Gamma = 0.7782319820549585, Beta = 1.2944686108032293
R_hit = 200.0, Gamma = 2.0943951023931744, Beta = 2.6189772214322606
R_hit = 200.0, Gamma = 2.890125607835271, Beta = -2.87682307059609
R_hit = 200.0, Gamma = -2.094395102393217, Beta = -1.5698129833542258
R_hit = 200.0, Gamma = -1.2811660735640031, Beta = -0.7649294448157254
R_hit = 200.0, Gamma = -2.19824158875781e-14, Beta = 0.5245821190390443
R_hit = 200.0, Gamma = 0.830727552216309, Beta = 1.3469641809645538
R_hit = 200.0, Gamma = 2.0943951023931726, Beta = 2.618977221432169
R_hit = 200.0, Gamma = 2.9426211779966214, Beta = -2.824327500434734
R_hit = 200.0, Gamma = -2.094395102393219, Beta = -1.5698129833541752
R_hit = 200.0, Gamma = -1.2286705034026526, Beta = -0.7124338746544079
R_hit = 200.0, Gamma = -2.375877272697835e-14, Beta = 0.5245821190389877
R_hit = 200.0, Gamma = 0.8832231223776595, Beta = 1.3994597511259166
R_hit = 200.0, Gamma = 2.094395102393171, Beta = 2.6189772214322056
R_hit = 200.0, Gamma = 2.995116748157972, Beta = -2.7718319302733865
R_hit = 200.0, Gamma = -2.0943951023932206, Beta = -1.5698129833542314
R_hit = 200.0, Gamma = -1.176174933241302, Beta = -0.6599383044931108
R_hit = 200.0, Gamma = -2.55351295663786e-14, Beta = 0.5245821190390259
R_hit = 200.0, Gamma = 0.9357186925390101, Beta = 1.451955321287258
R_hit = 200.0, Gamma = 2.094395102393169, Beta = 2.618977221432171
R_hit = 200.0, Gamma = 3.0476123183193224, Beta = -2.7193363601120253
R_hit = 200.0, Gamma = -2.0943951023932224, Beta = -1.5698129833541825
R_hit = 200.0, Gamma = -1.1236793630799515, Beta = -0.607442734331708
R_hit = 200.0, Gamma = -2.731148640577885e-14, Beta = 0.524582119038974
R_hit = 200.0, Gamma = 0.9882142627003606, Beta = 1.5044508914486105
R_hit = 200.0, Gamma = 2.0943951023931673, Beta = 2.618977221432193
R_hit = 200.0, Gamma = 3.100107888480673, Beta = -2.6668407899506783
R_hit = 200.0, Gamma = -2.094395102393224, Beta = -1.5698129833542114
R_hit = 200.0, Gamma = -1.071183792918601, Beta = -0.5549471641703578
R_hit = 200.0, Gamma = -2.90878432451791e-14, Beta = 0.524582119039013
R_hit = 200.0, Gamma = 1.0407098328617113, Beta = 1.5569464616099566
R_hit = 200.0, Gamma = 2.0943951023931655, Beta = 2.6189772214321456
R_hit = 200.0, Gamma = -3.1305818485375627, Beta = -2.6143452197893344
R_hit = 200.0, Gamma = -2.094395102393226, Beta = -1.569812983354164
R_hit = 200.0, Gamma = -1.0186882227572505, Beta = -0.502451594008998
R_hit = 200.0, Gamma = -3.086420008457935e-14, Beta = 0.524582119038989
R_hit = 200.0, Gamma = 1.0932054030230618, Beta = 1.6094420317712892
R_hit = 200.0, Gamma = 2.0943951023931637, Beta = 2.6189772214321825
R_hit = 200.0, Gamma = -3.078086278376212, Beta = -2.561849649627966
R_hit = 200.0, Gamma = -2.0943951023932277, Beta = -1.5698129833542203
R_hit = 200.0, Gamma = -0.9661926525959, Beta = -0.4499560238476504
R_hit = 200.0, Gamma = -3.26405569239796e-14, Beta = 0.5245821190390272
R_hit = 200.0, Gamma = 1.1457009731844123, Beta = 1.661937601932631
R_hit = 200.0, Gamma = 2.094395102393162, Beta = 2.618977221432148
R_hit = 200.0, Gamma = -3.0255907082148616, Beta = -2.5093540794666125
R_hit = 200.0, Gamma = -2.0943951023932295, Beta = -1.5698129833541732
R_hit = 200.0, Gamma = -0.9136970824345495, Beta = -0.39746045368628985
R_hit = 200.0, Gamma = -3.441691376337985e-14, Beta = 0.5245821190389903
R_hit = 200.0, Gamma = 1.1981965433457629, Beta = 1.7144331720940333
R_hit = 200.0, Gamma = 2.09439510239316, Beta = 2.6189772214321847
R_hit = 200.0, Gamma = -2.973095138053511, Beta = -2.4568585093052606
R_hit = 200.0, Gamma = -2.0943951023932312, Beta = -1.569812983354229
R_hit = 200.0, Gamma = -0.861201512273199, Beta = -0.34496488352497245
R_hit = 200.0, Gamma = -3.6193270602780103e-14, Beta = 0.5245821190390284
R_hit = 200.0, Gamma = 1.2506921135071134, Beta = 1.7669287422553444
R_hit = 200.0, Gamma = 2.0943951023931584, Beta = 2.61897722143215
R_hit = 200.0, Gamma = -2.9205995678921606, Beta = -2.4043629391439225
R_hit = 200.0, Gamma = -2.094395102393233, Beta = -1.5698129833541818
R_hit = 200.0, Gamma = -0.8087059421118484, Beta = -0.29246931336361165
R_hit = 200.0, Gamma = -3.7969627442180354e-14, Beta = 0.5245821190389773
R_hit = 200.0, Gamma = 1.303187683668464, Beta = 1.8194243124167
R_hit = 200.0, Gamma = 2.0943951023931566, Beta = 2.618977221432173
R_hit = 200.0, Gamma = -2.86810399773081, Beta = -2.3518673689825462
R_hit = 200.0, Gamma = -2.094395102393235, Beta = -1.569812983354211
R_hit = 200.0, Gamma = -0.7562103719504979, Beta = -0.23997374320222656
R_hit = 200.0, Gamma = -3.9745984281580604e-14, Beta = 0.5245821190389671
